,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alcohol_types_beercider,0.595291987,0.553233929,0.617189511,0.599302239,0.638354459,0.595108081,0.570319426,0.638308216,0.62580636,0.60982062,0.601261117,0.606508622,0.598404255,0.635129018,0.583531128,0.564399897,0.640844273,0.572883658,0.581529355,0.643112471,0.612112381,0.618039837,0.567030799,0.58650519,0.618294477,0.587638637,0.636520919,0.593439904,0.603794138,0.62546684,0.620134977,0.591380937,0.624858533,0.597626188,0.622479911,0.604907204,0.635327071,0.575854459,0.594297807,0.614930367,0.631224536,0.578245247,0.632731848,0.616989333,0.602945337,0.576236419,0.568474935,0.576267551,0.616441263,0.571285084,0.602233407,0.605278961,0.575019805,0.614008035,0.601018045,0.634805113,0.576547646,0.595716388,0.582015499,0.635133976,0.620190131,0.606906406,0.566987904,0.618919615,0.576830579,0.660550589,0.616774858,0.610111813,0.60131847,0.57700034,0.650747805,0.607552404,0.650195224,0.651963558,0.604363865,0.576710801,0.657636374,0.629541082,0.538648517,0.626411965,0.591274332,0.593566093,0.605350453,0.623395007,0.554521277,0.663804323,0.58227287,0.591338042,0.590807492,0.605251245,0.584446224,0.62865681,0.58546005,0.589831372,0.636621007,0.620921388,0.628833748,0.595320281,0.595470274,0.593783065
alcohol_types_red_wine,0.594358307,0.576335446,0.657811204,0.581729532,0.6086323,0.599960389,0.617261003,0.608167234,0.587681077,0.601077976,0.648216992,0.577697389,0.565187868,0.61777105,0.580871629,0.579384598,0.585219556,0.627079561,0.559209586,0.649861306,0.640929153,0.560816546,0.63915182,0.601289714,0.618846197,0.531433907,0.624195716,0.593325517,0.552470009,0.607642033,0.65114816,0.616431697,0.590015278,0.625240493,0.614601504,0.613028683,0.637675419,0.605916139,0.604735623,0.59911636,0.618266184,0.594485627,0.675584089,0.603648946,0.558043798,0.62461804,0.641325174,0.605393348,0.621505772,0.608391806,0.586705368,0.635091081,0.564013694,0.584073676,0.651920272,0.616975035,0.630121096,0.621873585,0.55317567,0.611055506,0.634025577,0.636784178,0.600946553,0.572564271,0.595093934,0.592589973,0.617604164,0.61420115,0.653137732,0.604232684,0.593754468,0.569275644,0.604331711,0.575345179,0.637679087,0.588106609,0.59264656,0.630842576,0.63333238,0.590980583,0.589760638,0.607684473,0.590523035,0.575867197,0.572770484,0.612140675,0.596985902,0.584603506,0.607429833,0.58562981,0.583831394,0.584660699,0.597923268,0.614559756,0.586891247,0.586119134,0.631097216,0.592872906,0.576953873,0.603777632
alcohol_types_sour_beers,0.664153938,0.658797858,0.669708391,0.698265306,0.635389804,0.695893672,0.717516366,0.745510204,0.678436818,0.698968459,0.63816703,0.705102041,0.650565364,0.676056338,0.717317992,0.700408163,0.64054751,0.744296767,0.660781591,0.637040816,0.64144019,0.695496925,0.62685975,0.717653061,0.631124777,0.715135886,0.611585003,0.686734694,0.712160286,0.709680619,0.696687165,0.668979592,0.679627058,0.630033723,0.723467566,0.700714286,0.633207697,0.687760365,0.683792898,0.666326531,0.649375124,0.674667725,0.722872446,0.704081633,0.700158699,0.646697084,0.651259671,0.628163265,0.649077564,0.662368578,0.664749058,0.689897959,0.700853005,0.661575084,0.735766713,0.630102041,0.63965483,0.694901805,0.726443166,0.703163265,0.640150764,0.698670899,0.673080738,0.719081633,0.689148978,0.707200952,0.656020631,0.714285714,0.715731006,0.671592938,0.639158897,0.730918367,0.698174965,0.604641936,0.731005753,0.697040816,0.682602658,0.658103551,0.659095418,0.743469388,0.628248363,0.683594525,0.728823646,0.653673469,0.727534219,0.668518151,0.747073993,0.63877551,0.662666138,0.608212656,0.74717318,0.646326531,0.699266019,0.728625273,0.613965483,0.632857143,0.604641936,0.724856179,0.698571712,0.662346939
alcohol_types_spiritshard_alcohol,0.572869511,0.58635129,0.580356888,0.570262232,0.572346084,0.60846254,0.568975378,0.598858989,0.606651766,0.578754527,0.581715233,0.588464068,0.617629584,0.649770824,0.599716892,0.586176328,0.600215029,0.60259167,0.587877835,0.595884927,0.617657877,0.602888751,0.560768109,0.606093969,0.599663309,0.610443074,0.586061941,0.582515943,0.559472612,0.587624491,0.603391575,0.632817638,0.572784631,0.586535197,0.602919729,0.59549887,0.599168176,0.57011091,0.586047642,0.597314765,0.568087936,0.61806813,0.569976265,0.566144299,0.638467632,0.563504414,0.577897566,0.56058223,0.611985061,0.545354233,0.586705368,0.578998542,0.60051211,0.611687981,0.586533787,0.581986903,0.603539498,0.575571526,0.591338042,0.573307787,0.565994228,0.638297872,0.579927936,0.581529355,0.527543572,0.615168062,0.583102176,0.58051417,0.609212313,0.619397918,0.571992336,0.567931597,0.603893164,0.617417383,0.566659041,0.562155052,0.620402331,0.588232798,0.542451886,0.560267666,0.581456541,0.621420892,0.587263004,0.510537905,0.551168515,0.564834201,0.637049959,0.604006406,0.563278067,0.574552965,0.589178987,0.594569476,0.580268221,0.615394409,0.545383054,0.529082902,0.607387392,0.548905048,0.566501759,0.586390803
alcohol_types_white_wine,0.530981213,0.571497284,0.547427722,0.577354228,0.554408103,0.587681077,0.538834396,0.562269439,0.579575034,0.482670326,0.498041122,0.538963082,0.53065584,0.488003622,0.51569962,0.514698733,0.543868832,0.494709144,0.53307215,0.561883382,0.541180964,0.479515618,0.560067488,0.553719008,0.552597329,0.543458579,0.558137207,0.567960193,0.526440131,0.533428588,0.511924848,0.551545655,0.580551154,0.521007809,0.536389373,0.528410878,0.525959144,0.563080014,0.522720124,0.537461752,0.542454165,0.50680455,0.513697847,0.531241957,0.559062359,0.528166025,0.555649289,0.534802253,0.580565301,0.472513015,0.576725099,0.541479596,0.48549966,0.50671967,0.545197175,0.545883497,0.54727818,0.50867191,0.557822643,0.568946781,0.569318696,0.558001358,0.570591095,0.552360662,0.549131394,0.514047646,0.548929051,0.54541165,0.481227365,0.566701562,0.495095656,0.560067488,0.537177456,0.56998359,0.575266665,0.506033916,0.535324242,0.547759167,0.547928165,0.554119363,0.559062359,0.542072205,0.564771655,0.557550974,0.564593708,0.534546175,0.545311562,0.553132775,0.572416818,0.497807266,0.552303469,0.559352569,0.563532707,0.511614418,0.54488261,0.613857989,0.577566206,0.566574242,0.545425949,0.524636106
allergic_to_i_have_no_food_allergies_that_i_know_of,0.783032481,0.736560661,0.751079528,0.743687266,0.748995586,0.776553305,0.760730933,0.735765964,0.771969783,0.740903689,0.73879722,0.790485859,0.746831145,0.755969896,0.757313621,0.768881009,0.777359665,0.782636374,0.739311962,0.76023049,0.772238569,0.70420722,0.800480426,0.752680946,0.755800136,0.754625962,0.741756985,0.801781578,0.801027048,0.732599593,0.77028225,0.745860619,0.739234382,0.747962879,0.79920787,0.766779147,0.762137845,0.791364871,0.746446853,0.685321285,0.792058058,0.744426211,0.756198347,0.757899854,0.752419081,0.768334088,0.725027882,0.757456604,0.739545609,0.778222612,0.756841774,0.774414481,0.751598574,0.739885129,0.762189368,0.765149132,0.744553531,0.786116455,0.755154565,0.759100918,0.740634903,0.779608986,0.762418142,0.716320169,0.673593821,0.774176664,0.806514341,0.745360176,0.676111928,0.804903237,0.759687151,0.792087277,0.800800702,0.759662177,0.737009923,0.704967257,0.771488796,0.748613626,0.760502159,0.757513798,0.777982119,0.763283726,0.753109897,0.749363722,0.768815075,0.783230534,0.755226057,0.728602476,0.783060774,0.753635695,0.756741685,0.72857388,0.761982232,0.72661555,0.766864938,0.758800652,0.773327863,0.755191829,0.737167205,0.760044611
allergic_to_other,0.60214876,0.586482619,0.663243835,0.634879219,0.593842975,0.609207979,0.593384395,0.603989563,0.554628099,0.589638919,0.621328171,0.609165895,0.620247934,0.594141907,0.546460736,0.655332043,0.570785124,0.652638667,0.636225907,0.602811211,0.62714876,0.574699099,0.656720815,0.597045703,0.611942149,0.667915159,0.611480515,0.604831243,0.583760331,0.659750863,0.588713071,0.673512331,0.564669421,0.541073984,0.622716943,0.655752883,0.627272727,0.635510479,0.598139887,0.648051511,0.594586777,0.647251915,0.612238027,0.544987796,0.655371901,0.628692871,0.589638919,0.547807424,0.620041322,0.615520579,0.649482367,0.611396347,0.616404959,0.614384311,0.595825267,0.597887383,0.617603306,0.604915411,0.593426479,0.576087871,0.681198347,0.639803047,0.607061695,0.583073815,0.593512397,0.583242151,0.668672671,0.634121707,0.599958678,0.636141739,0.573352411,0.624400303,0.551859504,0.628608703,0.607061695,0.657730831,0.548347107,0.636310075,0.648598603,0.602432455,0.654173554,0.600328255,0.573983671,0.572973655,0.66785124,0.574657015,0.612069691,0.582905479,0.579545455,0.572468647,0.638414275,0.603021631,0.625247934,0.606304183,0.669430183,0.589260163,0.578264463,0.592626883,0.612111775,0.608576719
allergic_to_peanuts,0.609375,0.542222222,0.582222222,0.626666667,0.59765625,0.524444444,0.768888889,0.471111111,0.53515625,0.608888889,0.697777778,0.497777778,0.5859375,0.56,0.737777778,0.422222222,0.6171875,0.466666667,0.56,0.52,0.67578125,0.417777778,0.577777778,0.504444444,0.4765625,0.617777778,0.604444444,0.68,0.6796875,0.426666667,0.64,0.648888889,0.546875,0.462222222,0.524444444,0.662222222,0.61328125,0.675555556,0.524444444,0.662222222,0.47265625,0.462222222,0.577777778,0.662222222,0.484375,0.582222222,0.604444444,0.671111111,0.625,0.626666667,0.484444444,0.537777778,0.55859375,0.595555556,0.577777778,0.56,0.615234375,0.493333333,0.708888889,0.488888889,0.5546875,0.591111111,0.662222222,0.648888889,0.55859375,0.577777778,0.746666667,0.555555556,0.5625,0.6,0.688888889,0.493333333,0.6171875,0.6,0.453333333,0.551111111,0.5703125,0.613333333,0.537777778,0.457777778,0.71875,0.351111111,0.631111111,0.542222222,0.625,0.64,0.573333333,0.377777778,0.55078125,0.693333333,0.595555556,0.417777778,0.6796875,0.684444444,0.497777778,0.577777778,0.55859375,0.595555556,0.475555556,0.542222222
allergic_to_shellfish,0.588010204,0.568239796,0.572704082,0.580357143,0.643494898,0.633928571,0.538265306,0.669642857,0.640306122,0.448979592,0.534438776,0.585459184,0.55994898,0.651785714,0.540816327,0.647321429,0.631377551,0.595663265,0.508928571,0.645408163,0.619897959,0.588010204,0.711734694,0.469387755,0.512755102,0.5625,0.56505102,0.535714286,0.577168367,0.621173469,0.631377551,0.505102041,0.5625,0.607142857,0.585459184,0.59630102,0.454081633,0.530612245,0.566326531,0.578443878,0.710459184,0.625,0.616071429,0.536989796,0.670918367,0.510204082,0.594387755,0.632653061,0.672193878,0.531887755,0.62627551,0.585459184,0.579081633,0.68494898,0.612244898,0.580357143,0.473214286,0.714285714,0.600765306,0.62755102,0.558673469,0.538265306,0.582908163,0.5625,0.397959184,0.459183673,0.584183673,0.579081633,0.538265306,0.533163265,0.664540816,0.540816327,0.575255102,0.5625,0.640306122,0.492346939,0.528061224,0.62244898,0.568877551,0.553571429,0.62755102,0.667091837,0.494897959,0.56377551,0.552295918,0.641581633,0.59375,0.672193878,0.43622449,0.599489796,0.49744898,0.655612245,0.463010204,0.655612245,0.677295918,0.612244898,0.582908163,0.483418367,0.621173469,0.526785714
allergic_to_tree_nuts,0.429065744,0.484429066,0.494809689,0.525951557,0.539792388,0.567474048,0.522491349,0.53633218,0.543252595,0.60899654,0.519031142,0.470588235,0.605536332,0.647058824,0.460207612,0.501730104,0.515570934,0.615916955,0.584775087,0.574394464,0.567474048,0.505190311,0.442906574,0.387543253,0.491349481,0.574394464,0.508650519,0.570934256,0.650519031,0.397923875,0.498269896,0.685121107,0.674740484,0.567474048,0.591695502,0.730103806,0.570934256,0.529411765,0.487889273,0.46366782,0.442906574,0.435986159,0.425605536,0.380622837,0.723183391,0.564013841,0.60899654,0.546712803,0.60899654,0.439446367,0.702422145,0.529411765,0.453287197,0.598615917,0.470588235,0.60899654,0.577854671,0.598615917,0.458477509,0.498269896,0.560553633,0.418685121,0.37716263,0.397923875,0.584775087,0.508650519,0.401384083,0.474048443,0.460207612,0.429065744,0.636678201,0.543252595,0.595155709,0.467128028,0.446366782,0.515570934,0.418685121,0.709342561,0.588235294,0.529411765,0.453287197,0.629757785,0.62283737,0.532871972,0.62283737,0.501730104,0.44982699,0.664359862,0.678200692,0.653979239,0.432525952,0.584775087,0.269896194,0.553633218,0.584775087,0.519031142,0.546712803,0.564013841,0.605536332,0.512110727
