10317_000002287,ERR1073154
10317_000002288,ERR1074211
10317_000002290,ERR1077823
10317_000002302,ERR1074213
10317_000002310,ERR1072893
10317_000002319,ERR1072895
10317_000002321,ERR1072896
10317_000002325,ERR1090778
10317_000002326,ERR1090779
10317_000002329,ERR1072898
10317_000002330,ERR1072899
10317_000002334,ERR1073158
10317_000002336,ERR1074971
10317_000002337,ERR1073159
10317_000002345,ERR1073160
10317_000002347,ERR1073162
10317_000002348,ERR1073163
10317_000002349,ERR1072901
10317_000002350,ERR1074215
10317_000002359,ERR1072903
10317_000002369,ERR1073478
10317_000002370,ERR1074216
10317_000002371,ERR1072904
10317_000002372,ERR1072905
10317_000002382,ERR1077825
10317_000002384,ERR1073164
10317_000002387,ERR1072906
10317_000002403,ERR1073166
10317_000002404,ERR1073167
10317_000002414,ERR1073168
10317_000002418a,ERR1077776
10317_000002418b,ERR1077777
10317_000002420,ERR1077826
10317_000002435,ERR1074217
10317_000002437,ERR1073169
10317_000002443,ERR1072910
10317_000002444,ERR1072911
10317_000002446,ERR1072912
10317_000002450,ERR1073745
10317_000002451,ERR1074218
10317_000002457,ERR1074220
10317_000002465,ERR1073170
10317_000002466,ERR1072913
10317_000002471,ERR1072914
10317_000002472,ERR1074222
10317_000002489,ERR1073748
10317_000002490,ERR1073749
10317_000002494,ERR1072918
10317_000002501,ERR1072919
10317_000002502,ERR1250397
10317_000002503,ERR1073172
10317_000002511,ERR1074224
10317_000002512,ERR1250398
10317_000002519,ERR1090219
10317_000002520,ERR1075609
10317_000002531,ERR1091261
10317_000002534,ERR1074227
10317_000002537,ERR1075434
10317_000002564,ERR1072924
10317_000002568,ERR1073755
10317_000002578,ERR1073174
10317_000002581,ERR1074229
10317_000002587,ERR1073490
10317_000002588,ERR1073491
10317_000002589,ERR1073175
10317_000002590,ERR1073176
10317_000002605,ERR1072929
10317_000002606,ERR1072930
10317_000002607,ERR1072931
10317_000002615,ERR1250399
10317_000002616,ERR1074230
10317_000002619,ERR1074231
10317_000002631,ERR1072936
10317_000002632,ERR1072937
10317_000002637,ERR1072938
10317_000002638,ERR1072939
10317_000002645,ERR1074232
10317_000002649,ERR1073757
10317_000002650,ERR1073497
10317_000002651,ERR1073178
10317_000002652,ERR1073179
10317_000002655,ERR1073180
10317_000002669,ERR1073759
10317_000002670,ERR1073760
10317_000002687,ERR1072941
10317_000002689,ERR1072942
10317_000002690,ERR1072943
10317_000002698,ERR1090780
10317_000002709,ERR1073182
10317_000002710,ERR1073183
10317_000002711,ERR1075610
10317_000002712,ERR1075611
10317_000002715,ERR1073185
10317_000002716,ERR1073186
10317_000002717,ERR1678326
10317_000002721,ERR1074972
10317_000002734,ERR1073187
10317_000002735,ERR1074235
10317_000002736,ERR1072945
10317_000002739,ERR1072946
10317_000002749,ERR1074973
10317_000002751,ERR1073188
10317_000002752,ERR1073189
10317_000002765,ERR1073190
10317_000002770,ERR1089676
10317_000002772,ERR1074237
10317_000002773,ERR1072947
10317_000002774,ERR1072948
10317_000002783,ERR1073191
10317_000002784,ERR1073192
10317_000002787,ERR1076629
10317_000002801,ERR1074239
10317_000002803,ERR1074975
10317_000002805,ERR1072952
10317_000002806,ERR1072953
10317_000002809,ERR1073766
10317_000002810,ERR1074242
10317_000002814,ERR1072954
10317_000002817,ERR1073193
10317_000002818,ERR1073194
10317_000002819,ERR1072955
10317_000002822,ERR1074751
10317_000002825,ERR1072956
10317_000002826,ERR1072957
10317_000002829,ERR1077829
10317_000002831,ERR1073768
10317_000002833,ERR1072958
10317_000002849,ERR1072960
10317_000002850,ERR1072961
10317_000002851,ERR1073195
10317_000002853,ERR1072962
10317_000002859,ERR1072963
10317_000002863,ERR1072964
10317_000002869,ERR1075615
10317_000002873,ERR1072968
10317_000002878,ERR1073773
10317_000002883,ERR1072969
10317_000002885,ERR1072971
10317_000002886,ERR1072972
10317_000002890,ERR1079922
10317_000002894,ERR1072974
10317_000002897,ERR1074248
10317_000002898,ERR1072976
10317_000002905,ERR1073196
10317_000002906,ERR1073197
10317_000002908,ERR1458698
10317_000002922,ERR1073777
10317_000002929,ERR1842115
10317_000002930,ERR1842116
10317_000002943,ERR1072978
10317_000002944,ERR1074250
10317_000002945,ERR1075616
10317_000002946,ERR1077831
10317_000002952,ERR1072981
10317_000002955,ERR1090221
10317_000002965,ERR1073779
10317_000002969,ERR1077833
10317_000002971,ERR1073199
10317_000002972,ERR1073200
10317_000002979,ERR1073201
10317_000002980,ERR1073202
10317_000002995,ERR1073203
10317_000002996,ERR1073204
10317_000003001,ERR1073205
10317_000003002,ERR1073206
10317_000003003,ERR1074252
10317_000003009,ERR2032465
10317_000003022,ERR1073207
10317_000003023,ERR1073208
10317_000003024,ERR1073209
10317_000003026,ERR1073210
10317_000003028,ERR1072982
10317_000003046,ERR1073782
10317_000003047,ERR1072984
10317_000003048,ERR1072985
10317_000003057,ERR1075437
10317_000003058,ERR1072986
10317_000003059,ERR1072987
10317_000003060,ERR1072988
10317_000003061,ERR1074255
10317_000003062,ERR1074256
10317_000003063,ERR1073783
10317_000003086,ERR1073212
10317_000003093,ERR1072991
10317_000003097,ERR1250400
10317_000003098,ERR1089680
10317_000003103,ERR1072992
10317_000003120,ERR1072993
10317_000003126,ERR1073214
10317_000003136,ERR1077778
10317_000003137,ERR1073784
10317_000003145,ERR1074263
10317_000003149,ERR1073216
10317_000003150,ERR1073217
10317_000003155,ERR1074267
10317_000003157,ERR1089681
10317_000003159,ERR1089683
10317_000003160,ERR1075617
10317_000003161,ERR1074980
10317_000003169,ERR1077779
10317_000003170,ERR1077780
10317_000003173,ERR1073787
10317_000003175,ERR1073789
10317_000003177,ERR1074268
10317_000003188,ERR1075618
10317_000003189,ERR1073520
10317_000003193,ERR1073221
10317_000003196,ERR1075619
10317_000003197,ERR1075620
10317_000003201,ERR1072998
10317_000003220,ERR1073222
10317_000003221,ERR1073223
10317_000003222,ERR1073224
10317_000003225,ERR1073001
10317_000003226,ERR1074270
10317_000003240,ERR1073225
10317_000003266,ERR1073793
10317_000003277,ERR1073226
10317_000003279,ERR1073227
10317_000003280,ERR1073002
10317_000003281,ERR1073003
10317_000003283,ERR1842117
10317_000003287,ERR1073005
10317_000003300,ERR1073006
10317_000003301,ERR1075623
10317_000003303,ERR1075624
10317_000003316,ERR1073525
10317_000003317,ERR1073526
10317_000003319,ERR1073228
10317_000003337,ERR1073229
10317_000003350,ERR1073798
10317_000003358,ERR1073800
10317_000003364,ERR1073008
10317_000003365,ERR1073009
10317_000003369,ERR1073231
10317_000003370,ERR1073232
10317_000003382,ERR1075625
10317_000003388,ERR1077266
10317_000003399,ERR1091263
10317_000003423,ERR1073011
10317_000003426,ERR1073805
10317_000003430,ERR1073012
10317_000003432,ERR1073013
10317_000003439,ERR1073014
10317_000003442,ERR1073235
10317_000003451,ERR1074278
10317_000003458,ERR1073015
10317_000003473,ERR1073236
10317_000003475,ERR1073237
10317_000003489,ERR1079924
10317_000003493,ERR1074755
10317_000003494,ERR1074756
10317_000003496,ERR1074758
10317_000003505,ERR1073016
10317_000003506,ERR1073017
10317_000003508,ERR1073019
10317_000003509,ERR2404897
10317_000003529,ERR1074279
10317_000003531,ERR1074280
10317_000003532,ERR1074281
10317_000003537,ERR1073811
10317_000003559,ERR1073813
10317_000003577,ERR1075627
10317_000003579,ERR1075629
10317_000003580,ERR1075630
10317_000003602,ERR1073239
10317_000003609,ERR1089688
10317_000003610,ERR1089689
10317_000003640,ERR1073021
10317_000003649,ERR1073022
10317_000003666,ERR1073023
10317_000003668,ERR1075631
10317_000003713,ERR1073241
10317_000003714,ERR1073814
10317_000003717,ERR1074983
10317_000003718,ERR1074984
10317_000003729,ERR1074289
10317_000003730,ERR1074290
10317_000003731,ERR1074291
10317_000003732,ERR1074292
10317_000003757,ERR1073242
